"","ETBL_ID","ETBL_NOM_FR","ADR_CIVIQUE","ADR_MUNICIPALITE","ADR_CODE_POSTAL","ADR_LATITUDE","ADR_LONGITUDE"
"1",838721,"LE ROCKLEDGE","3101, boul. Édouard-Montpetit","Montréal","H3T1K3",45.501159,-73.620873
"2",838774,"AUBERGE DU LAC-COMMANDANT","420, ch. Maskinongé","Boileau","J0V1N0",45.862468,-74.765781
"3",838885,"UNIVERSITÉ CONCORDIA","1185, rue Saint-Mathieu","Montréal","H3H2H6",45.4929101,-73.5772774
"4",838963,"LE GÎTE DU PARC LAFONTAINE","1250, rue Sherbrooke E.","Montréal","H2L1M1",45.523403,-73.56524
"5",839010,"PAVILLON JEAN-XXIII","4300, ch. Queen-Mary","Montréal","H3V1A6",45.49312,-73.6207
"6",839050,"LES RÉSIDENCES TACHÉ ET LES MAISONS DE VILLE DE L'UQO","315, boul. Alexandre-Taché","Gatineau","J9A1L8",45.422595,-75.74113
"7",839106,"FONDATION CAMP LE TERRIER","7, ch. des Ormes","Déléage","J9E3A8",46.376436,-75.772415
"8",839154,"BASE DE PLEIN AIR VILLE LA JOIE","150, rang Rhimbault","Sainte-Victoire-de-Sorel","J0G1T0",45.983645,-73.096669
"9",839384,"MOTEL MASCOUCHE","2905, ch. Gascon","Mascouche","J7L3X7",45.729572,-73.673107
"10",840205,"LE PETIT BONHEUR","6790, rue Lemay","Montréal","H1T2L9",45.578568,-73.572701
"11",840383,"CAMP SPATIAL CANADA","2150, aut. des Laurentides","Laval","H7T2T8",45.567245,-73.742804
"12",840638,"CHÂTEAU LES BEAULNE","218, montée Lafontaine","Montpellier","J0V1M0",45.838775,-75.212931
"13",841088,"MANOIR BAGNELL-HALL","1965, ch. Grimshaw","Franklin","J0S1E0",45.046989,-73.917985
"14",841169,"AUBERGE ET RESTAURANT CHEZ GIRARD","18, rue Principale O.","Sainte-Agathe-des-Monts","J8C1A3",46.047377,-74.289926
"15",841352,"L’ESCALE HÔTEL SUITES","1100, rue de l' Escale","Val-d'Or","J9P4G8",48.103226,-77.80744
"16",841572,"HÔTEL DE LA COOPÉRATIVE DE KANGIQSUJUAQ","Kangiqsujuaq","Kangiqsujuaq","J0M1K0",61.585468,-71.925846
"17",841624,"ORGANISME LA FERME D'ANDRÉ","1082, ch. Upper Concession","Ormstown","J0S1K0",45.139029,-74.075671
"18",841955,"HÔTEL SPA MONT-GABRIEL","1699, ch. du Mont-Gabriel","Sainte-Adèle","J8B1A5",45.92098,-74.16044
"19",842121,"LES STUDIOS HÔTEL - UNIVERSITÉ DE MONTRÉAL","2450, boul. Édouard-Montpetit","Montréal","H3T1J4",45.506237,-73.615953
"20",842175,"HÔTEL BEST WESTERN VILLE-MARIE ET SUITES","3407, rue Peel","Montréal","H3A1W7",45.502234,-73.576886
"21",842593,"AUBERGE LA HUARDIÈRE","1000, ch. du Lac-Lusignan","Saint-Guillaume-Nord","J0K3B0",46.665964,-74.093986
"22",842825,"CHEZ JEAN","4136, av. Henri-Julien","Montréal","H2W2K3",45.520226,-73.578157
"23",842963,"L'HOSTELLERIE DU LAC-NOIR","2791, ch. des Faucons","Nominingue","J0W1R0",46.346052,-74.96396
"24",843161,"À L'ADRESSE DU CENTRE-VILLE","1673, rue St-Christophe","Montréal","H2L3W7",45.517346,-73.561327
"25",844143,"TRAVELODGE RIGAUD","50, rue St-Jean-Baptiste O.","Rigaud","J0P1P0",45.484789,-74.309131
"26",844378,"CAMP DES BOULEAUX","71, ch. du Pin-Rouge","Grand-Remous","J0W1E0",46.616838,-75.803584
"27",844804,"LE PROVINCIALART","2292, rue du Sacré-Coeur","Nominingue","J0W1R0",46.403057,-75.02464
"28",844867,"CHEZ NOR-LOU","803, ch. du Lac-Équerre","Lac-Supérieur","J0T1J0",46.180099,-74.509819
"29",845141,"CAMP MUSICAL DES LAURENTIDES","60, rue Mozart","Saint-Adolphe-d'Howard","J0T2B0",45.937305,-74.315325
"30",845298,"HÔTEL-MOTEL CARREFOUR LA GRANDE","53, av. des Groseilliers","Eeyou Istchee Baie-James","J0Y2X0",53.791353,-77.61757
"31",845612,"AUBERGE DU MONT LANAUDIÈRE","1851, ch. du Mont-De-Lanaudière","Saint-Gabriel-de-Brandon","J0K2N0",46.307217,-73.412844
"32",845662,"CAMP KATERI, CAMP DES GUIDES FRANCO-CANADIENNES, DISTRICT D'OTTAWA","265, ch. des Guides","Lac-Simon","J0V1E0",45.85723,-75.104685
"33",845752,"HÔTEL DU GOLF NOMININGUE","2100, ch. du Tour-du-Lac","Nominingue","J0W1R0",46.390705,-75.025489
"34",845888,"LA TOUR BELVÉDÈRE","2175, boul. de Maisonneuve O.","Montréal","H3H1L5",45.491361,-73.584492
"35",846582,"CENTRE NOTRE-DAME-DE-FATIMA","2464, boul. Perrot","Notre-Dame-de-l'Île-Perrot","J7V8P4",45.35694,-73.920747
"36",846664,"CAMP SCOUT AWACAMENJ MINO","143, ch. McNicoll","Low","J0X1S0",45.797227,-76.150661
"37",846864,"CAMP PARDAS CHANAH","1984, rte 117","Val-David","J0T2N0",46.040197,-74.227211
"38",847180,"CENTRE MUSICAL CAMMAC","85, ch. Cammac","Harrington","J8G2T2",45.851841,-74.577177
"39",847241,"MOTEL LOUIS G.","613A, route 219 Nord","Hemmingford","J0L1H0",45.056228,-73.585186
"40",847322,"MOTEL LE CLASSIC","2, rte 117","Montcerf-Lytton","J0W1N0",46.72936,-76.072254
"41",847496,"CAMP MASSAD","1780, ch. du Lac-Quenouille","Sainte-Agathe-des-Monts","J8C0R4",46.152179,-74.367796
"42",847628,"CAMP AMY MOLSON","245, ch. Scotch","Grenville-sur-la-Rouge","J0V1B0",45.740583,-74.593966
"43",847771,"CAMP JOLI-B","1555, ch. Joli-B","Rouyn-Noranda","J0Z3J0",47.960445,-79.298533
"44",847984,"DOMAINE DE LA BAIE GILLIES","1771, ch. de la Baie-Gillies","Fugèreville","J0Z2A0",47.420647,-79.118375
"45",848083,"CAMP FAMILIAL ABITIBI-TÉMISCAMINGUE","817, rte des Campagnards","Val-d'Or","J9P0C2",48.256486,-77.627029
"46",848263,"CENTRE DE PLEIN AIR DU LAC-FLAVRIAN","3288, rang du Lac-Flavrian","Rouyn-Noranda","J0Z1Y1",48.272899,-79.163581
"47",848493,"VILLAGE SUISSE","1175, rue de la Sapinière","Val-David","J0T2N0",46.028612,-74.201096
