ETBL_ID;ADR_ID;ADR_GENRE_ID;ADR_GENRE_FR;ADR_GENRE_EN;ADR_PRINCIPALE;ADR_CIVIQUE;ADR_MUNICIPALITE;ADR_PROVINCE;ADR_PAYS;ADR_CODE_POSTAL;ADR_PNT_SERVC_FR;ADR_PNT_SERVC_EN;ADR_PNT_SERVC_DEFAUT;ADR_LATITUDE;ADR_LONGITUDE;ADR_COMMENT_FR;ADR_COMMENT_EN
838721;838725;7;Exploitation;Operations;1;3101, boul. Édouard-Montpetit;Montréal;Québec;Canada;H3T1K3;;;1;45.501159;-73.620873;;
838774;838778;7;Exploitation;Operations;1;420, ch. Maskinongé;Boileau;Québec;Canada;J0V1N0;;;1;45.862468;-74.765781;;
838885;20300753;7;Exploitation;Operations;1;1185, rue Saint-Mathieu;Montréal;Québec;Canada;H3H2H6;;;1;45.4929101;-73.5772774;;
838963;13163836;7;Exploitation;Operations;1;1250, rue Sherbrooke E.;Montréal;Québec;Canada;H2L1M1;;;1;45.523403;-73.56524;;
839010;12252301;7;Exploitation;Operations;1;4300, ch. Queen-Mary;Montréal;Québec;Canada;H3V1A6;;;1;45.49312;-73.6207;;
839050;103142328;7;Exploitation;Operations;1;315, boul. Alexandre-Taché;Gatineau;Québec;Canada;J9A1L8;;;1;45.422595;-75.74113;;
839106;11511001;7;Exploitation;Operations;1;7, ch. des Ormes;Déléage;Québec;Canada;J9E3A8;;;1;46.376436;-75.772415;;
839154;11513224;7;Exploitation;Operations;1;150, rang Rhimbault;Sainte-Victoire-de-Sorel;Québec;Canada;J0G1T0;;;1;45.983645;-73.096669;;
839384;839388;7;Exploitation;Operations;1;2905, ch. Gascon;Mascouche;Québec;Canada;J7L3X7;;;1;45.729572;-73.673107;;
840205;840209;7;Exploitation;Operations;1;6790, rue Lemay;Montréal;Québec;Canada;H1T2L9;;;1;45.578568;-73.572701;;
840383;13255949;7;Exploitation;Operations;1;2150, aut. des Laurentides;Laval;Québec;Canada;H7T2T8;;;1;45.567245;-73.742804;;
840638;840642;7;Exploitation;Operations;1;218, montée Lafontaine;Montpellier;Québec;Canada;J0V1M0;;;1;45.838775;-75.212931;;
841088;841092;7;Exploitation;Operations;1;1965, ch. Grimshaw;Franklin;Québec;Canada;J0S1E0;;;1;45.046989;-73.917985;;
841169;841173;7;Exploitation;Operations;1;18, rue Principale O.;Sainte-Agathe-des-Monts;Québec;Canada;J8C1A3;;;1;46.047377;-74.289926;;
841352;13339336;7;Exploitation;Operations;1;1100, rue de l' Escale;Val-d'Or;Québec;Canada;J9P4G8;;;1;48.103226;-77.80744;;
841572;841576;7;Exploitation;Operations;1;Kangiqsujuaq;Kangiqsujuaq;Québec;Canada;J0M1K0;;;1;61.585468;-71.925846;;
841624;11511028;7;Exploitation;Operations;1;1082, ch. Upper Concession;Ormstown;Québec;Canada;J0S1K0;;;1;45.139029;-74.075671;;
841955;841959;7;Exploitation;Operations;1;1699, ch. du Mont-Gabriel;Sainte-Adèle;Québec;Canada;J8B1A5;;;1;45.92098;-74.16044;;
842121;20286535;7;Exploitation;Operations;1;2450, boul. Édouard-Montpetit;Montréal;Québec;Canada;H3T1J4;;;1;45.506237;-73.615953;;
842175;12442220;7;Exploitation;Operations;1;3407, rue Peel;Montréal;Québec;Canada;H3A1W7;;;1;45.502234;-73.576886;;
842593;11511047;7;Exploitation;Operations;1;1000, ch. du Lac-Lusignan;Saint-Guillaume-Nord;Québec;Canada;J0K3B0;;;1;46.665964;-74.093986;;
842825;13163514;7;Exploitation;Operations;1;4136, av. Henri-Julien;Montréal;Québec;Canada;H2W2K3;;;1;45.520226;-73.578157;;
842963;842967;7;Exploitation;Operations;1;2791, ch. des Faucons;Nominingue;Québec;Canada;J0W1R0;;;1;46.346052;-74.96396;;
843161;14572196;7;Exploitation;Operations;1;1673, rue St-Christophe;Montréal;Québec;Canada;H2L3W7;;;1;45.517346;-73.561327;;
844143;844147;7;Exploitation;Operations;1;50, rue St-Jean-Baptiste O.;Rigaud;Québec;Canada;J0P1P0;;;1;45.484789;-74.309131;;
844378;13259253;7;Exploitation;Operations;1;71, ch. du Pin-Rouge;Grand-Remous;Québec;Canada;J0W1E0;;;1;46.616838;-75.803584;;
844804;844808;7;Exploitation;Operations;1;2292, rue du Sacré-Coeur;Nominingue;Québec;Canada;J0W1R0;;;1;46.403057;-75.02464;;
844867;844871;7;Exploitation;Operations;1;803, ch. du Lac-Équerre;Lac-Supérieur;Québec;Canada;J0T1J0;;;1;46.180099;-74.509819;;
845141;845145;7;Exploitation;Operations;1;60, rue Mozart;Saint-Adolphe-d'Howard;Québec;Canada;J0T2B0;;;1;45.937305;-74.315325;;
845298;845302;7;Exploitation;Operations;1;53, av. des Groseilliers;Eeyou Istchee Baie-James;Québec;Canada;J0Y2X0;;;1;53.791353;-77.61757;;
845612;845616;7;Exploitation;Operations;1;1851, ch. du Mont-De-Lanaudière;Saint-Gabriel-de-Brandon;Québec;Canada;J0K2N0;;;1;46.307217;-73.412844;;
845662;13260012;7;Exploitation;Operations;1;265, ch. des Guides;Lac-Simon;Québec;Canada;J0V1E0;;;1;45.85723;-75.104685;;
845752;845756;7;Exploitation;Operations;1;2100, ch. du Tour-du-Lac;Nominingue;Québec;Canada;J0W1R0;;;1;46.390705;-75.025489;;
845888;12445241;7;Exploitation;Operations;1;2175, boul. de Maisonneuve O.;Montréal;Québec;Canada;H3H1L5;;;1;45.491361;-73.584492;;
846582;13258887;7;Exploitation;Operations;1;2464, boul. Perrot;Notre-Dame-de-l'Île-Perrot;Québec;Canada;J7V8P4;;;1;45.35694;-73.920747;;
