ETBL_ID;ETBL_NOM_FR;ETBL_NOM_EN;ETBL_DESC_FR;ETBL_DESC_EN;ETBL_RESERVABLE
838721;LE ROCKLEDGE;LE ROCKLEDGE;Imaginez un séjour dans l'intimité, le luxe et l'atmosphère incomparables d'un immeuble Art Déco des années 20 auquel on a conservé tout son cachet. Cet immeuble est situé dans un quartier résidentiel sécuritaire, à deux pas du centre-ville. C'est la résidence favorite des professeurs en visite à l'université.;Imagine a stay in the intimacy, luxury and incomparable ambience of a 1920s art deco apartment preserved in all its original splendour. Located in a safe residential neighbourhood, just minutes from downtown. Rated three stars, this well-kept secret is popular among visiting university professors.;0
838774;AUBERGE DU LAC-COMMANDANT;AUBERGE DU LAC-COMMANDANT;Ce chalet rustique pouvant accueillir jusqu¿à 33 personnes est situé au bord du magnifique lac Papineau. Comprend : 12 chambres, salle de danse avec chaîne audio. Activités : plage, kayak, canot, <em>paddleboard</em> (enfants), patinage, ski de fond, raquette, pêche. Idéal pour une réunion de famille, un mariage ou un événement d¿entreprise. Les chevreuils sont magnifiques!;This rustic, 12-bedroom cottage on the shores of magnificent lac Papineau accommodates up to 33 guests. Activities: private beach, kayaking, canoeing, paddleboarding (children), skating, cross-country skiing, snowshoeing and ice fishing. Perfect for weddings, corporate events and family reunions. The party room has a four-speaker sound system. In winter, the deer are magnificent.;0
838885;UNIVERSITÉ CONCORDIA;UNIVERSITÉ CONCORDIA;La résidence des S¿urs grises est située au c¿ur du centre-ville de Montréal, à quelques pas de restaurants, théâtres et musées renommés. Le prestigieux bâtiment historique est le secret le mieux gardé en matière d¿hébergement abordable pendant l¿été. Idéal pour ceux qui cherchent un endroit confortable, sécuritaire et à proximité des services.;Welcome to Concordia University's Grey Nuns Residence, in the heart of downtown Montréal. Just steps from renowned attractions and restaurants, this beautiful historic building is the best-kept secret for affordable summer lodging in Montréal. With comfortable accommodations and many services nearby, this is an excellent option.;0
838963;LE GÎTE DU PARC LAFONTAINE;LE GÎTE DU PARC LAFONTAINE;Auberge de jeunesse située sur le Plateau, en face du parc Lafontaine. Près de la rue Saint-Denis et de ses restaurants, cafés, théâtres, musées, etc. Dortoirs et chambres privées, petit-déjeuner à volonté, accès Wi-Fi, terrasse. Auberge de jeunesse propre, calme et bien située. Idéale pour les familles, les groupes et les voyageurs.;Hostel located in the heart of the Plateau, near Parc Lafontaine, where you can enjoy nature to the fullest. Close to Rue Saint-Denis, cafés, restaurants, theatres, museums... Dormitories, private rooms and terrace available. Rates include an all-you-can-eat breakfast, Wi-Fi... Nice and clean property, great location. Perfect for families. <strong> </strong>;0
839010;PAVILLON JEAN-XXIII;PAVILLON JEAN-XXIII;Cet hôtel de 17 chambres privées situé à deux pas de l¿oratoire Saint-Joseph accueille les pèlerins et visiteurs qui recherchent une atmosphère paisible favorisant le recueillement et la prière en plein c¿ur de Montréal. Plusieurs catégories de chambres offertes, de la chambre économique à la chambre supérieure, qui offre plusieurs services supplémentaires. ;Charming hotel with 17 private rooms, at the foot of Saint-Joseph¿s Oratory. Ideal for pilgrimage visits or those seeking a quiet place for reflection and prayer, in the heart of Montréal. Several types of rooms to meet your needs, from Economy to Superior, which comes with a number of added services.;0
839050;LES RÉSIDENCES TACHÉ ET LES MAISONS DE VILLE DE L'UQO;LES RÉSIDENCES TACHÉ ET LES MAISONS DE VILLE DE L'UQO;Hébergement bénéficiant d'un emplacement privilégié vous permettant d'accéder rapidement aux sites touristiques les plus prestigieux et aux nombreux sentiers du parc de la Gatineau. Profitez d'un accès rapide et sécuritaire à plus de 125 kilomètres de sentiers pédestres et de pistes cyclables.;Accommodations in an ideal location that provide quick access to the most culturally significant tourist attractions and the many trails of Gatineau Park. Enjoy easy, safe access to more than 125 km (77.5 mi.) of hiking trails and bike paths.;0
839106;FONDATION CAMP LE TERRIER;FONDATION CAMP LE TERRIER;Camp de vacances offrant des séjours avec programmation aux enfants de 6 à 17 ans. Camp certifié ACQ, emplacement sécuritaire et moniteurs certifiés DAFA. Rabais ou gratuité disponibles en fonction du revenu familial. Plusieurs services sont offerts : accueil de groupes, sorties scolaires, location de chalets et camping d¿hiver.;This ACQ-certified vacation centre offers programs for kids aged 6 to 17. Safe location with DAFA-certified counsellors. Discounts/fee waiver available based on family income. Numerous services are offered: group visits, educational excursions, cottage rentals and winter camping. Welcome one and all!;0
839154;BASE DE PLEIN AIR VILLE LA JOIE;BASE DE PLEIN AIR VILLE LA JOIE;Vous recherchez l'air pur, une forêt, un endroit pour vivre une aventure, la paix.... et tous les services essentiels à proximité? Vous trouverez tout ça dans ce centre. Dans un chalet spacieux ou sous la tente, vous aimerez vivre dans la nature et ce que vous découvrirez dans ce centre de vacances.;Are you seeking pure air, forest, a place where you can experience adventure and tranquility... but still have all your essential services nearby? You'll find it here. Spend the night in a spacious cottage or a tent and delight in nature and the many activities offered at this centre.;0
839384;MOTEL MASCOUCHE;MOTEL MASCOUCHE;;;0
840205;LE PETIT BONHEUR;LE PETIT BONHEUR;;;0
