ETBL_ID;TERR_GENRE;TERR_ZONE_ID;TERR_ZONE_NOM_FR;TERR_ZONE_NOM_EN;TERR_ZONE_GENRE_ID;TERR_ZONE_GENRE_FR;TERR_ZONE_GENRE_EN
838721;principal;292120028;Le mont Royal;The Mont Royal;432971;Quartier / secteur;District / Area
838721;principal;21950;Montréal;Montréal;91;Ville;City
838721;principal;3432;Montréal;Montréal;81;Région;Area
838721;principal;3406;Québec;Quebec;75;Province;Province
838774;principal;22830;Boileau;Boileau;91;Ville;City
838774;principal;3434;Outaouais;Outaouais;81;Région;Area
838774;principal;3406;Québec;Quebec;75;Province;Province
838885;principal;432973;Centre-ville;Downtown;432971;Quartier / secteur;District / Area
838885;principal;21950;Montréal;Montréal;91;Ville;City
838885;principal;3432;Montréal;Montréal;81;Région;Area
838885;principal;3406;Québec;Quebec;75;Province;Province
838963;principal;292119712;Le Village;The Village;432971;Quartier / secteur;District / Area
838963;principal;21950;Montréal;Montréal;91;Ville;City
838963;principal;3432;Montréal;Montréal;81;Région;Area
838963;principal;3406;Québec;Quebec;75;Province;Province
839010;principal;292120028;Le mont Royal;The Mont Royal;432971;Quartier / secteur;District / Area
839010;principal;21950;Montréal;Montréal;91;Ville;City
839010;principal;3432;Montréal;Montréal;81;Région;Area
839010;principal;3406;Québec;Quebec;75;Province;Province
839050;principal;23302;Hull;Hull;432971;Quartier / secteur;District / Area
839050;principal;129053474;Gatineau;Gatineau;91;Ville;City
839050;principal;3434;Outaouais;Outaouais;81;Région;Area
839050;principal;3406;Québec;Quebec;75;Province;Province
839106;principal;23118;Déléage;Déléage;91;Ville;City
839106;principal;3434;Outaouais;Outaouais;81;Région;Area
839106;principal;3406;Québec;Quebec;75;Province;Province
839154;principal;20818;Sainte-Victoire-de-Sorel;Sainte-Victoire-de-Sorel;91;Ville;City
839154;principal;3426;Montérégie;Montérégie;81;Région;Area
839154;principal;3406;Québec;Quebec;75;Province;Province
839384;principal;22634;Mascouche;Mascouche;91;Ville;City
839384;principal;3428;Lanaudière;Lanaudière;81;Région;Area
839384;principal;3406;Québec;Quebec;75;Province;Province
840205;principal;292119698;Est;East;432971;Quartier / secteur;District / Area
840205;principal;21950;Montréal;Montréal;91;Ville;City
840205;principal;3432;Montréal;Montréal;81;Région;Area
840205;principal;3406;Québec;Quebec;75;Province;Province
840383;principal;22514;Laval;Laval;91;Ville;City
840383;principal;3418;Laval;Laval;81;Région;Area
840383;principal;3406;Québec;Quebec;75;Province;Province
840638;principal;21948;Montpellier;Montpellier;91;Ville;City
840638;principal;3434;Outaouais;Outaouais;81;Région;Area
840638;principal;3406;Québec;Quebec;75;Province;Province
841088;principal;23180;Franklin;Franklin;91;Ville;City
841088;principal;3426;Montérégie;Montérégie;81;Région;Area
841088;principal;3406;Québec;Quebec;75;Province;Province
841169;principal;20576;Sainte-Agathe-des-Monts;Sainte-Agathe-des-Monts;91;Ville;City
841169;principal;3430;Laurentides;Laurentides;81;Région;Area
841169;principal;3406;Québec;Quebec;75;Province;Province
841352;principal;20430;Secteur Val-d'Or;Sector of Val-d'Or;432971;Quartier / secteur;District / Area
841352;principal;287410632;Val-d'Or;Val-d'Or;91;Ville;City
841352;principal;3436;Abitibi-Témiscamingue;Abitibi-Témiscamingue;81;Région;Area
841352;principal;3406;Québec;Quebec;75;Province;Province
841572;principal;23342;Kangiqsujuaq;Kangiqsujuaq;91;Ville;City
841572;principal;5717661;Nunavik;Nunavik;81;Région;Area
841572;principal;3406;Québec;Quebec;75;Province;Province
841624;principal;22098;Ormstown;Ormstown;91;Ville;City
841624;principal;3426;Montérégie;Montérégie;81;Région;Area
841624;principal;3406;Québec;Quebec;75;Province;Province
841955;principal;20566;Sainte-Adèle;Sainte-Adèle;91;Ville;City
841955;principal;3430;Laurentides;Laurentides;81;Région;Area
841955;principal;3406;Québec;Quebec;75;Province;Province
842121;principal;292120028;Le mont Royal;The Mont Royal;432971;Quartier / secteur;District / Area
842121;principal;21950;Montréal;Montréal;91;Ville;City
842121;principal;3432;Montréal;Montréal;81;Région;Area
842121;principal;3406;Québec;Quebec;75;Province;Province
842175;principal;432973;Centre-ville;Downtown;432971;Quartier / secteur;District / Area
842175;principal;21950;Montréal;Montréal;91;Ville;City
842175;principal;3432;Montréal;Montréal;81;Région;Area
842175;principal;3406;Québec;Quebec;75;Province;Province
842593;principal;21334;Saint-Guillaume-Nord;Saint-Guillaume-Nord;91;Ville;City
842593;principal;3428;Lanaudière;Lanaudière;81;Région;Area
842593;principal;3406;Québec;Quebec;75;Province;Province
842825;principal;292120347;Plateau Mont-Royal - Mile End;Plateau Mont-Royal - Mile End;432971;Quartier / secteur;District / Area
842825;principal;21950;Montréal;Montréal;91;Ville;City
842825;principal;3432;Montréal;Montréal;81;Région;Area
842825;principal;3406;Québec;Quebec;75;Province;Province
842963;principal;22380;Nominingue;Nominingue;91;Ville;City
842963;principal;3430;Laurentides;Laurentides;81;Région;Area
842963;principal;3406;Québec;Quebec;75;Province;Province
843161;principal;432973;Centre-ville;Downtown;432971;Quartier / secteur;District / Area
843161;principal;21950;Montréal;Montréal;91;Ville;City
843161;principal;3432;Montréal;Montréal;81;Région;Area
843161;principal;3406;Québec;Quebec;75;Province;Province
844143;principal;22242;Rigaud;Rigaud;91;Ville;City
844143;principal;3426;Montérégie;Montérégie;81;Région;Area
844143;principal;3406;Québec;Quebec;75;Province;Province
844378;principal;23226;Grand-Remous;Grand-Remous;91;Ville;City
844378;principal;3434;Outaouais;Outaouais;81;Région;Area
844378;principal;3406;Québec;Quebec;75;Province;Province
844804;principal;22380;Nominingue;Nominingue;91;Ville;City
844804;principal;3430;Laurentides;Laurentides;81;Région;Area
844804;principal;3406;Québec;Quebec;75;Province;Province
844867;principal;22414;Lac-Supérieur;Lac-Supérieur;91;Ville;City
844867;principal;3430;Laurentides;Laurentides;81;Région;Area
844867;principal;3406;Québec;Quebec;75;Province;Province
845141;principal;21636;Saint-Adolphe-d'Howard;Saint-Adolphe-d'Howard;91;Ville;City
845141;principal;3430;Laurentides;Laurentides;81;Région;Area
845141;principal;3406;Québec;Quebec;75;Province;Province
845298;principal;281857757;Radisson;Radisson;432971;Quartier / secteur;District / Area
845298;principal;22736;Eeyou Istchee Baie-James;Eeyou Istchee Baie-James;91;Ville;City
845298;principal;5718188;Baie-James;Baie-James;81;Région;Area
845298;principal;3406;Québec;Quebec;75;Province;Province
