ETBL_ID;ETBL_TYPE_GENRE;ETBL_TYPE_ID;ETBL_TYPE_FR;ETBL_TYPE_EN;ETBL_TYPE_GRP_ID;ETBL_TYPE_GRP_FR;ETBL_TYPE_GRP_EN;ETBL_TYPE_CATG_ID;ETBL_TYPE_CATG_FR;ETBL_TYPE_CATG_EN
838721;principal;10819;Chalet / appartement / résidence de tourisme;Cottage / apartment / tourist home;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
838774;principal;10819;Chalet / appartement / résidence de tourisme;Cottage / apartment / tourist home;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
838885;principal;10811;Résidence étudiante;Student residence;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
838963;principal;10807;Auberge de jeunesse;Youth hostel;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
839010;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
839050;principal;10811;Résidence étudiante;Student residence;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
839106;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
839154;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
839384;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
840205;principal;10813;Gîte touristique;Bed and breakfast;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
840383;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
840638;principal;10819;Chalet / appartement / résidence de tourisme;Cottage / apartment / tourist home;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
841088;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
841169;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
841352;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
841572;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
841624;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
841955;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
842121;principal;10811;Résidence étudiante;Student residence;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
842175;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
842593;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
842825;principal;10813;Gîte touristique;Bed and breakfast;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
842963;principal;10819;Chalet / appartement / résidence de tourisme;Cottage / apartment / tourist home;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
843161;principal;10813;Gîte touristique;Bed and breakfast;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
844143;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
844378;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
844804;principal;10813;Gîte touristique;Bed and breakfast;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
844867;principal;10819;Chalet / appartement / résidence de tourisme;Cottage / apartment / tourist home;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
845141;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
845298;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
845612;principal;10819;Chalet / appartement / résidence de tourisme;Cottage / apartment / tourist home;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
845662;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
845752;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
845888;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
846582;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
846664;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
846864;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
847180;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
847241;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
847322;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
847496;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
847628;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
847771;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
847984;principal;241055221;Autre hébergement;Other accommodation;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
848083;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
848263;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
848493;principal;10819;Chalet / appartement / résidence de tourisme;Cottage / apartment / tourist home;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
849290;principal;10811;Résidence étudiante;Student residence;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
